기준일자,분류명,항목명,녹번동,불광제1동,불광제2동,갈현제1동,갈현제2동,구산동,대조동,응암제1동,응암제2동,응암제3동,역촌동,신사제1동,신사제2동,증산동,수색동,진관동
2016,안전 및 대피시설,CCTV시설비,50.29,64.78,52.62,48.74,47.64,47.8,42.5,58.62,46.86,34.16,37.22,52.44,35.04,48.96,60.97,71.37
2016,안전 및 대피시설,비상대피소시설비,34.91,54.53,59.32,48.19,55.83,53.84,57.02,67.11,41.2,53.65,61.9,33.17,44.31,34.12,56.39,44.51
2016,안전 및 대피시설,비상대피소수용가능면적비,46.54,33.12,59.63,42.29,57.52,43.26,47.35,54.17,50.09,71.2,64.59,57.07,52.79,42.34,37.47,40.58
2016,안전 및 대피시설,보안등시설비,54.96,64.19,49.37,46.3,47.88,55.15,33.26,51.48,46.58,30.05,41.21,49.91,51.13,48.77,57.29,72.45
2016,안전 및 대피시설,어린이노인보호구역비,47.73,47.68,54.36,62.69,42.85,39.56,60.98,58.9,39.44,42.08,63.02,64.2,46.7,51.62,27.85,50.33
2016,안전 및 대피시설,무더위쉼터비,48.0,46.91,54.14,59.15,56.65,48.75,63.16,57.53,43.76,61.86,62.59,51.19,40.72,39.84,25.99,39.77
2016,비상상황 대응시설 및 장비,비상급수시설비,33.97,58.03,48.66,62.46,49.42,48.3,44.42,26.93,59.88,50.52,64.44,63.2,51.01,42.35,50.21,46.19
2016,비상상황 대응시설 및 장비,제설함비,47.29,49.76,55.19,53.79,56.03,50.32,58.32,42.35,46.3,53.6,53.47,55.05,57.66,52.62,53.52,14.71
2016,비상상황 대응시설 및 장비,소방용수시설비,61.03,57.41,41.07,34.72,57.93,53.67,56.52,52.85,55.42,34.28,52.3,38.77,35.75,44.1,57.34,66.84
2016,지역 인프라의 재난 취약 정도,재난취약가구점검대상가구비율,50.34,44.97,70.78,72.99,52.37,43.76,48.93,54.98,48.08,49.82,43.7,42.12,53.53,52.54,36.12,34.96
2016,지역 인프라의 재난 취약 정도,침수취약가구비율,83.72,47.17,44.6,46.47,51.17,47.22,59.63,46.96,40.81,57.14,47.09,45.57,47.1,50.48,45.24,39.63
2016,지역 인프라의 재난 취약 정도,건물노후비율,48.11,53.82,56.39,56.26,45.92,44.13,53.7,46.74,54.65,57.1,45.2,41.21,58.04,58.25,61.81,18.67
2016,지역 인프라의 재난 취약 정도,화재발생비,56.59,47.07,61.04,59.14,61.96,28.26,42.33,59.0,45.56,57.21,40.61,58.04,42.41,54.33,53.08,33.37
2017,신체건강,비만율,41.76,39.9,53.42,47.45,55.87,57.79,55.01,47.39,47.06,64.28,53.75,47.19,54.01,59.45,55.87,19.83
2017,신체건강,고혈압신규의료이용률,56.69,46.59,54.67,40.53,55.88,48.21,47.8,59.52,60.33,53.06,55.07,32.05,46.19,66.79,49.82,26.8
2017,신체건강,당뇨병신규의료이용률,41.66,43.62,62.26,63.25,48.53,43.62,59.32,51.47,49.51,58.34,53.43,58.34,53.43,46.57,45.58,21.06
2017,신체건강,관절염평생의사진단경험률,50.69,58.38,64.83,33.65,40.03,35.67,65.18,58.37,51.47,46.67,52.97,51.27,43.19,55.92,58.05,33.65
2017,신체건강,이상지질혈증신규의료이용률,44.95,50.88,57.08,50.34,49.8,51.95,38.75,45.49,46.83,64.89,46.02,40.09,44.14,63.01,72.98,32.82
2017,신체건강,흡연율,46.14,35.29,58.6,53.67,53.82,57.13,57.99,48.93,48.02,69.55,55.5,46.95,50.36,44.25,50.1,23.69
2017,신체건강,음주율,54.37,42.2,60.35,45.14,46.22,48.87,48.97,60.35,40.73,71.04,56.82,55.44,49.56,50.64,44.36,24.93
2017,정신건강,스트레스인지율,56.83,64.12,61.75,36.81,42.89,40.57,73.47,46.33,47.74,54.36,52.33,45.9,52.2,48.59,37.95,38.17
2017,정신건강,우울감경험률,56.83,61.63,52.59,36.87,33.17,38.72,61.44,42.78,55.8,57.58,64.16,58.19,48.4,49.61,49.06,33.17
2017,일상생활 건강유지 노력,걷기실천율,51.87,39.15,43.7,33.57,48.15,53.75,30.72,57.11,68.51,44.35,55.18,53.23,50.79,66.46,56.22,47.26
2017,일상생활 건강유지 노력,일반1차검진수검률,52.9,43.12,56.2,54.8,51.1,70.97,56.3,43.32,50.9,58.79,64.58,37.03,41.82,35.43,47.31,35.43
2017,일상생활 건강유지 노력,보건기관이용률,48.56,40.05,39.09,40.66,58.22,46.93,45.82,51.19,55.59,40.61,34.99,49.06,50.01,65.98,61.94,71.29
2017,일상생활 건강유지 노력,영양표시활용률,58.9,48.02,37.77,63.22,61.78,47.5,49.74,52.87,32.32,44.75,57.66,53.66,58.48,32.32,61.51,39.49
2017,인구사회학적 구성,노령인구비율,56.84,52.63,60.29,51.05,41.8,51.78,51.06,43.8,35.95,69.37,43.5,45.88,45.4,56.02,65.0,29.63
2017,인구사회학적 구성,한부모가족가구비율,37.57,40.22,58.04,69.04,64.36,54.26,50.83,46.25,52.39,53.43,51.78,45.36,60.16,45.12,42.64,28.54
2017,인구사회학적 구성,동별인구밀도,43.61,38.97,46.84,51.06,56.54,49.3,63.17,46.94,52.43,66.03,67.17,57.8,47.14,45.9,36.32,30.77
2017,인구사회학적 구성,영유아비율,51.03,56.87,40.68,41.64,49.48,47.74,44.63,49.89,81.25,37.38,55.21,52.77,47.1,43.31,42.23,58.76
2017,인구사회학적 구성,표준화사망비,50.17,53.98,44.81,51.88,38.79,66.96,56.85,63.78,32.77,58.68,46.44,52.19,34.89,50.19,60.7,36.92
2017,빈곤 수준 비율,기초생활수급자비율,43.71,42.46,63.13,68.61,52.27,45.51,56.09,41.65,46.77,62.61,46.73,42.43,56.56,43.32,59.19,28.95
2017,빈곤 수준 비율,독거노인비율,52.63,49.67,47.25,47.66,46.76,50.75,43.64,43.07,48.77,45.15,37.26,41.92,52.27,70.24,78.05,44.91
2017,보건 및 의료기관,의료기관시설비,59.33,46.89,53.87,43.97,56.18,56.87,26.3,32.71,61.04,36.45,55.0,50.59,61.22,49.73,55.17,54.69
2017,보건 및 의료기관,약국시설비,58.58,54.44,50.98,45.23,46.51,66.25,27.54,43.35,34.81,52.74,51.05,60.07,57.57,40.19,48.05,62.64
2017,보건 및 의료기관,안전상비약판매업소시설비,46.7,53.01,52.63,38.85,41.88,49.61,36.43,42.89,63.52,43.25,48.03,52.94,57.6,37.1,72.84,62.71
2017,복지서비스시설,노인여가복지시설비,53.55,42.63,52.7,47.76,61.2,56.33,49.45,57.86,51.08,45.21,21.02,54.76,61.25,53.87,35.0,56.35
2017,복지서비스시설,영유아보육시설비,50.21,51.51,53.45,51.26,52.44,48.47,51.06,56.5,56.73,48.14,49.57,53.93,54.38,13.34,60.17,48.85
2017,건강체육위생시설,체육시설비,33.55,56.97,57.42,42.46,49.93,21.77,55.48,49.79,45.48,51.16,55.44,57.4,47.39,58.07,60.75,56.94
2017,건강체육위생시설,도시공원면적비,39.49,53.43,54.94,54.82,54.88,15.31,54.85,45.92,54.84,54.85,54.89,54.96,51.0,54.91,55.03,45.88
2017,안전 및 대피시설,CCTV시설비,49.66,65.26,51.85,51.76,47.35,48.81,39.7,57.81,48.04,28.15,39.26,50.71,41.27,49.79,60.6,69.98
2017,안전 및 대피시설,비상대피소시설비,36.03,54.31,59.12,48.21,55.7,53.61,56.78,66.1,44.24,57.61,61.4,34.11,44.83,30.13,53.98,43.83
2017,안전 및 대피시설,비상대피소수용가능면적비,47.8,35.44,59.62,43.6,57.59,44.49,48.44,53.68,52.68,69.96,63.87,57.07,53.35,39.9,34.5,38.01
2017,안전 및 대피시설,보안등시설비,56.09,61.72,47.96,45.45,47.01,53.42,32.84,54.72,57.24,27.72,41.54,48.5,50.76,47.48,58.57,68.98
2017,안전 및 대피시설,어린이노인보호구역비,49.55,44.73,56.85,58.3,43.75,34.54,58.27,60.44,50.93,42.53,62.75,67.65,39.92,49.91,30.84,49.02
2017,안전 및 대피시설,무더위쉼터비,51.36,46.72,53.66,57.93,55.78,50.03,61.69,56.05,45.91,60.4,61.17,50.69,48.93,36.66,21.73,41.3
2017,비상상황 대응시설 및 장비,비상급수시설비,39.55,57.71,48.1,61.08,51.27,50.19,55.02,22.85,52.11,51.82,62.66,61.68,56.27,47.71,37.12,44.87
2017,비상상황 대응시설 및 장비,제설함비,46.6,49.52,55.75,53.59,56.2,50.19,58.29,42.1,47.06,54.67,53.36,54.9,57.82,52.07,52.99,14.89
2017,비상상황 대응시설 및 장비,소방용수시설비,56.87,57.12,42.1,29.68,57.59,53.68,56.3,60.26,53.24,35.87,51.74,39.99,37.21,44.89,57.67,65.78
2017,지역 인프라의 재난 취약 정도,재난취약가구점검대상가구비율,64.86,64.84,60.16,62.16,49.27,43.2,45.2,49.83,44.25,65.33,40.55,41.17,48.29,49.13,35.74,36.03
2017,지역 인프라의 재난 취약 정도,침수취약가구비율,80.44,48.79,44.78,46.95,48.96,48.84,62.23,47.87,39.73,60.99,48.05,46.88,44.83,51.19,39.73,39.73
2017,지역 인프라의 재난 취약 정도,건물노후비율,48.25,53.91,56.41,55.9,46.17,44.04,53.38,47.36,55.09,57.67,44.7,41.14,57.73,57.89,61.76,18.61
2017,지역 인프라의 재난 취약 정도,화재발생비,52.59,47.9,52.68,51.64,54.7,49.43,42.29,31.74,41.49,75.59,48.75,57.86,37.3,61.76,52.47,41.8
2018,신체건강,비만율,51.99,37.21,56.31,57.26,57.77,55.28,53.67,47.53,53.31,58.94,54.26,43.79,58.14,45.18,50.89,18.47
2018,신체건강,고혈압신규의료이용률,59.15,45.88,47.12,52.93,55.83,67.03,59.57,42.14,51.69,57.49,40.48,34.68,50.44,61.64,45.46,28.45
2018,신체건강,당뇨병신규의료이용률,43.55,43.55,61.11,41.36,55.63,53.43,64.41,46.84,44.65,61.11,49.04,42.45,39.16,61.11,63.31,29.28
2018,신체건강,관절염평생의사진단경험률,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,신체건강,이상지질혈증신규의료이용률,38.63,52.89,56.09,36.89,56.38,51.15,47.94,49.98,64.82,51.15,45.33,45.91,46.49,42.12,76.76,37.47
2018,신체건강,흡연율,48.84,38.41,62.41,53.01,54.72,50.7,59.91,50.31,47.47,69.56,55.55,51.24,48.4,43.11,41.59,24.74
2018,신체건강,음주율,53.01,36.35,60.72,48.41,51.26,46.57,60.13,53.77,42.3,62.06,62.14,58.63,41.04,51.67,47.24,24.71
2018,정신건강,스트레스인지율,45.38,52.14,59.9,39.33,40.13,34.53,59.28,55.12,45.89,73.46,57.19,55.26,56.51,38.47,46.2,41.23
2018,정신건강,우울감경험률,58.72,57.76,60.85,36.4,41.53,37.33,55.23,50.25,35.61,60.65,52.73,56.64,65.91,46.56,50.08,33.74
2018,일상생활 건강유지 노력,걷기실천율,45.06,49.78,43.08,48.4,47.33,61.48,49.64,55.0,38.35,37.28,45.34,56.46,31.7,57.61,71.57,61.91
2018,일상생활 건강유지 노력,일반1차검진수검률,52.44,42.35,44.14,51.72,53.65,74.33,54.08,55.37,42.85,60.59,60.59,50.58,42.06,44.78,39.99,30.47
2018,일상생활 건강유지 노력,보건기관이용률,35.35,57.83,54.2,31.98,50.28,53.72,57.09,58.03,54.31,53.56,51.76,56.74,50.75,61.96,25.04,47.41
2018,일상생활 건강유지 노력,영양표시활용률,51.97,44.45,43.98,59.1,64.94,58.55,43.6,41.33,50.14,43.84,44.28,41.33,44.3,41.33,77.92,48.95
2018,인구사회학적 구성,노령인구비율,54.56,54.61,59.11,50.85,42.5,50.7,50.84,44.11,34.7,70.85,45.12,45.43,46.21,57.45,63.41,29.54
2018,인구사회학적 구성,한부모가족가구비율,38.32,36.94,60.9,66.86,65.15,57.28,46.12,44.21,48.79,57.78,52.06,46.91,56.24,49.73,42.3,30.39
2018,인구사회학적 구성,동별인구밀도,44.85,39.01,46.9,50.93,56.57,49.77,62.58,47.03,51.93,65.94,66.73,58.89,47.43,45.57,34.73,31.13
2018,인구사회학적 구성,영유아비율,54.64,54.99,41.43,40.55,50.2,48.95,42.86,51.74,80.55,36.07,54.02,53.44,46.77,41.8,43.88,58.1
2018,인구사회학적 구성,표준화사망비,44.87,51.36,58.99,59.5,45.35,61.13,50.07,45.76,36.84,53.67,42.27,47.76,41.69,57.39,72.38,30.99
2018,빈곤 수준 비율,기초생활수급자비율,42.05,44.64,66.44,68.6,49.97,44.78,55.8,43.01,44.86,63.37,44.86,40.59,56.21,44.71,58.21,31.89
2018,빈곤 수준 비율,독거노인비율,51.25,49.68,47.13,48.29,46.8,49.73,44.34,43.53,49.17,45.27,39.14,41.29,51.0,66.6,81.43,45.36
2018,보건 및 의료기관,의료기관시설비,57.31,43.12,59.47,35.34,60.95,57.46,27.23,33.6,53.58,44.67,54.13,51.59,60.13,50.35,57.36,53.72
2018,보건 및 의료기관,약국시설비,56.69,53.78,52.61,44.43,46.38,64.48,28.77,43.11,33.9,54.22,52.47,61.48,58.77,42.13,43.25,63.52
2018,보건 및 의료기관,안전상비약판매업소시설비,49.67,54.02,53.2,37.91,42.04,50.98,35.66,42.63,63.25,43.03,49.06,54.57,57.89,33.75,68.11,64.24
2018,복지서비스시설,노인여가복지시설비,55.26,45.3,58.19,53.23,56.39,53.05,59.62,56.58,46.35,61.01,60.23,50.89,45.84,41.36,31.21,25.47
2018,복지서비스시설,영유아보육시설비,52.88,51.7,54.13,50.58,56.72,48.1,46.54,55.33,57.19,43.97,49.72,55.24,49.17,16.65,65.54,46.55
2018,건강체육위생시설,체육시설비,42.31,59.45,49.48,48.67,48.39,42.65,65.21,54.72,43.44,55.72,48.58,45.74,23.8,46.57,59.03,66.23
2018,건강체육위생시설,도시공원면적비,40.22,59.33,51.84,46.24,45.66,30.9,67.17,54.19,49.96,67.48,64.26,46.99,41.98,45.75,40.02,48.02
2018,안전 및 대피시설,CCTV시설비,51.78,65.14,61.21,41.24,54.59,51.81,51.57,59.24,37.52,28.79,53.43,46.41,41.86,43.04,45.42,66.94
2018,안전 및 대피시설,비상대피소시설비,43.92,56.12,59.69,53.01,56.68,58.37,60.83,53.79,44.13,57.87,65.17,37.82,45.66,29.48,36.85,40.61
2018,안전 및 대피시설,비상대피소수용가능면적비,54.31,40.47,58.23,51.21,55.75,51.57,53.68,47.92,36.9,65.0,61.92,57.98,54.96,48.4,29.35,32.34
2018,안전 및 대피시설,보안등시설비,55.63,61.57,47.68,45.49,46.9,53.32,33.0,54.71,58.76,27.89,41.23,48.69,50.8,47.02,58.65,68.66
2018,안전 및 대피시설,어린이노인보호구역비,52.11,49.63,56.93,58.38,40.13,37.57,57.89,60.38,51.15,44.67,62.46,61.61,42.23,50.47,24.02,50.38
2018,안전 및 대피시설,무더위쉼터비,50.65,42.53,57.28,62.16,53.9,50.3,59.75,58.08,48.13,62.36,60.97,45.45,49.09,36.11,32.06,31.17
2018,비상상황 대응시설 및 장비,비상급수시설비,35.64,56.05,50.29,56.89,56.52,50.26,51.99,37.33,54.18,50.9,65.51,61.71,58.98,28.08,47.46,38.22
2018,비상상황 대응시설 및 장비,제설함비,46.25,49.95,56.64,53.48,56.14,50.37,58.88,37.71,48.83,55.16,53.2,55.09,58.38,52.49,50.91,16.52
2018,비상상황 대응시설 및 장비,소방용수시설비,56.47,55.45,41.95,29.52,58.19,54.94,53.99,60.4,54.57,34.87,52.18,43.56,35.28,45.17,58.76,64.7
2018,지역 인프라의 재난 취약 정도,재난취약가구점검대상가구비율,51.17,46.02,50.0,46.66,48.34,59.68,51.13,39.0,45.19,51.5,52.63,73.77,39.98,69.05,38.73,37.14
2018,지역 인프라의 재난 취약 정도,침수취약가구비율,78.16,53.64,44.33,44.24,47.63,49.3,64.81,45.29,39.87,60.42,51.07,44.06,45.21,52.23,39.87,39.87
2018,지역 인프라의 재난 취약 정도,건물노후비율,48.86,54.69,55.04,57.35,47.19,43.6,53.81,45.25,54.14,57.86,45.2,41.6,57.81,57.98,61.1,18.52
2018,지역 인프라의 재난 취약 정도,화재발생비,49.55,44.71,47.98,53.33,49.4,40.61,63.75,44.52,31.9,66.67,39.29,51.23,46.01,63.46,66.07,41.53
2019,신체건강,비만율,39.27,42.62,58.31,46.08,53.69,54.48,47.12,56.06,43.04,64.58,54.17,53.87,59.59,58.19,47.36,21.57
2019,신체건강,고혈압신규의료이용률,51.48,36.31,56.54,48.76,54.6,57.32,64.72,36.7,35.92,46.42,69.77,40.98,58.1,53.04,51.09,38.25
2019,신체건강,당뇨병신규의료이용률,51.32,47.27,56.98,59.41,53.75,55.37,51.32,35.93,40.79,68.32,52.94,31.88,58.6,57.79,45.65,32.69
2019,신체건강,관절염평생의사진단경험률,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,신체건강,이상지질혈증신규의료이용률,40.63,48.41,56.78,37.45,50.72,44.95,52.45,41.2,47.26,46.39,54.18,44.66,58.8,77.54,61.39,37.17
2019,신체건강,흡연율,44.22,37.7,60.59,54.73,56.83,55.26,61.25,51.21,41.46,67.77,55.97,49.93,48.45,46.46,42.22,25.95
2019,신체건강,음주율,43.02,38.76,57.12,47.83,44.33,47.7,60.76,56.84,40.68,72.66,57.12,53.75,56.71,52.24,38.34,32.15
2019,정신건강,스트레스인지율,55.88,37.79,56.94,59.35,63.39,48.35,58.42,68.46,38.38,37.59,39.66,46.48,59.22,41.78,38.77,49.55
2019,정신건강,우울감경험률,42.72,57.21,71.01,43.74,54.24,49.01,39.59,43.51,58.12,45.3,53.42,68.37,38.92,56.65,40.34,37.86
2019,일상생활 건강유지 노력,걷기실천율,50.86,40.65,46.49,36.16,53.91,57.02,49.89,45.17,43.14,35.96,58.74,66.31,66.77,57.63,56.96,34.34
2019,일상생활 건강유지 노력,일반1차검진수검률,49.47,50.08,46.72,47.54,52.41,72.52,44.8,44.49,49.97,70.39,57.79,30.48,53.22,41.44,46.22,42.46
2019,일상생활 건강유지 노력,보건기관이용률,49.39,61.0,51.97,65.62,50.93,41.99,45.54,45.32,58.95,55.18,53.14,36.25,48.73,37.91,30.75,67.31
2019,일상생활 건강유지 노력,영양표시활용률,74.03,45.39,48.07,39.19,53.91,48.54,55.78,62.68,39.99,46.63,64.6,50.75,52.04,37.73,39.36,41.3
2019,인구사회학적 구성,노령인구비율,50.83,55.8,60.06,52.2,43.06,51.02,52.07,44.25,30.52,69.58,47.03,46.37,48.65,57.08,61.56,29.93
2019,인구사회학적 구성,한부모가족가구비율,36.2,39.19,57.97,61.78,65.17,67.11,44.55,53.39,48.79,56.33,52.96,48.07,54.13,42.31,37.62,34.42
2019,인구사회학적 구성,동별인구밀도,46.9,38.84,46.85,50.58,56.45,49.81,57.83,46.82,57.65,66.05,66.44,58.96,47.3,45.46,32.95,31.11
2019,인구사회학적 구성,영유아비율,57.74,51.75,40.55,40.32,49.25,48.77,42.93,49.54,82.55,37.99,50.79,51.86,47.29,42.69,50.19,55.79
2019,인구사회학적 구성,표준화사망비,53.79,51.33,57.3,55.87,46.53,57.1,56.95,54.12,24.99,61.23,47.0,40.43,41.92,48.57,66.35,36.52
2019,빈곤 수준 비율,기초생활수급자비율,41.83,45.07,66.56,70.46,50.98,46.6,53.91,44.0,43.07,62.75,45.75,40.05,56.0,43.96,56.6,32.42
2019,빈곤 수준 비율,독거노인비율,55.08,55.39,63.29,54.59,42.28,43.72,57.59,46.04,38.07,70.19,47.24,41.47,48.68,48.5,59.2,28.64
2019,보건 및 의료기관,의료기관시설비,57.48,42.21,56.07,40.49,59.75,53.2,29.19,27.98,62.01,46.7,52.79,50.22,60.53,54.24,56.37,50.76
2019,보건 및 의료기관,약국시설비,54.89,50.6,62.05,36.45,56.58,57.95,32.83,27.98,57.58,52.99,54.38,52.92,63.41,48.28,40.85,50.25
2019,보건 및 의료기관,안전상비약판매업소시설비,49.91,56.11,52.16,29.43,46.52,53.49,37.42,36.33,60.26,55.93,40.31,51.3,54.65,46.69,70.33,59.14
2019,복지서비스시설,노인여가복지시설비,52.77,46.21,58.42,53.59,56.54,53.47,58.48,56.63,47.24,60.95,60.31,51.44,46.96,42.05,27.73,27.22
2019,복지서비스시설,영유아보육시설비,54.39,45.58,52.59,41.64,56.61,51.39,44.36,57.02,61.08,51.68,48.31,54.95,53.2,18.85,63.91,44.43
2019,건강체육위생시설,체육시설비,42.22,59.93,50.37,49.58,49.3,43.69,65.72,55.49,38.56,49.96,49.49,46.71,25.3,47.53,59.69,66.46
2019,건강체육위생시설,도시공원면적비,41.03,57.22,52.92,46.48,45.33,32.44,67.68,55.22,40.14,67.74,65.07,48.18,43.28,46.97,41.11,49.19
2019,안전 및 대피시설,CCTV시설비,40.71,63.68,50.52,47.62,50.11,52.43,43.71,56.71,53.25,23.61,45.12,48.76,44.95,48.36,63.34,67.08
2019,안전 및 대피시설,비상대피소시설비,47.25,55.85,59.29,52.7,56.35,58.08,58.53,53.55,49.63,57.56,64.39,38.6,45.9,30.62,29.27,42.43
2019,안전 및 대피시설,비상대피소수용가능면적비,55.3,41.37,57.77,51.13,55.43,51.69,51.8,48.16,43.11,63.99,61.11,57.54,54.72,48.71,22.99,35.19
2019,안전 및 대피시설,보안등시설비,55.72,61.38,47.58,45.43,46.83,53.2,33.05,54.58,58.51,27.98,41.21,48.61,50.7,46.95,59.84,68.42
2019,안전 및 대피시설,어린이노인보호구역비,49.02,55.93,50.32,57.74,49.18,39.14,60.62,59.67,48.31,54.86,62.4,48.63,39.38,59.3,22.69,42.8
2019,안전 및 대피시설,무더위쉼터비,52.3,43.27,56.88,61.29,53.71,50.51,58.18,57.55,51.57,61.53,60.2,46.03,49.3,37.41,26.08,34.19
2019,비상상황 대응시설 및 장비,비상급수시설비,39.35,56.37,50.58,57.08,53.91,50.59,49.35,37.12,57.6,51.18,65.98,62.18,59.35,27.89,41.93,39.56
2019,비상상황 대응시설 및 장비,제설함비,40.06,49.81,59.68,50.82,59.41,50.54,61.2,35.36,48.29,48.35,51.06,55.48,64.59,47.91,54.05,23.39
2019,비상상황 대응시설 및 장비,소방용수시설비,57.04,57.28,38.65,30.48,57.75,53.93,54.65,60.35,53.49,36.53,51.35,40.55,37.84,45.34,59.03,65.74
2019,지역 인프라의 재난 취약 정도,재난취약가구점검대상가구비율,49.84,46.0,49.95,46.73,48.4,59.31,53.41,39.02,43.42,51.44,52.71,73.66,40.02,69.21,39.82,37.07
2019,지역 인프라의 재난 취약 정도,침수취약가구비율,75.44,53.64,44.2,44.15,47.6,49.14,68.59,45.15,39.69,60.5,51.12,43.94,45.11,52.34,39.69,39.69
2019,지역 인프라의 재난 취약 정도,건물노후비율,47.83,54.7,54.9,57.77,47.1,43.42,53.86,45.66,53.08,58.57,45.46,41.5,58.42,57.91,61.0,18.8
2019,지역 인프라의 재난 취약 정도,화재발생비,48.05,39.96,40.9,66.41,48.67,37.71,57.28,51.23,38.43,60.21,67.02,56.32,45.99,41.28,62.02,38.51
2020,신체건강,비만율,43.13,36.59,57.06,54.17,55.01,61.1,51.67,52.7,50.9,63.73,56.23,51.48,57.25,44.42,42.43,22.15
